reviews,sentiment
fender cable perfect length sometimes find bit long mind build quality great know last gripe cable metal sleeve get unscrewed way easily requiring tighten often sound quality not affected color cool definitely try cable durable instrument cable,Positive
wanted look alone nice looking cord know perform sam ash cord packed mailer inside another box roc n soc shipping team great work never complaint love sam ash thanks amazon fender ft cali clear,Positive
using cable month holding pretty well year used seemingly indestructable guitar cable made electrician friend finally gave got habit using name cable always display near register guitar center really impulse buy something put thought third fourth guitar center cable failed light use decided try cable not cheaper seem holding better not terribly hard gear cable tend get twisted move around cheaper one eventually fail mid cable mind spending extra dollar cable little durable cable actually cheaper shipped holding pretty well actually reasonably priced cable kind limited life warantee product needed five star nicely made foot guitar cable cost shipped incidentally cable shielded meant connect instrument amp input not use connect amplifier speaker cab want use unshielded cable purpose edit month passed cable functioning without issue price thing gone significantly although cable highly recommended probably better value hosa monster planet wave far good revisit month mark,Positive
fender cord look great work well adding word california description sure sound like beach boy add california name jump,Positive
cool looking cheap cable work well bent one connector pretty badly fault one thing consider cable tighten connector awhile able hear rattle seems retro look screw connector black rubber cable look cool work well also shorter red cable go one guitar perfectly bought thesis use practicing others use black cable easier plug different amp without cutting someone accident green cable good cheap cool looking good length,Positive
fender foot california clear instrument cable lake placid blue good extra cord good price fender foot california clear instrument cable lake placid blue,Positive
good cable well made look great candy apple red tele reason gave star tends not lay flat floor guitar cable,Positive
got cable run rockband keyboard controller audio profire control midi pro tool work great firm fit solidly molded end reputable branded cable bit thin side seen issue due anything go wrong time purchase prime eligibility quality cable,Positive
searching midi cable art x foot controller came across hosa one dollar realize would still happy price well high quality plastic metal connector work flawlessly must realize foot overestimated wish longer connection racked sound module perfect got great pricing still really good product,Positive
cant go wrong great quality budget price hosa go need hook thing hosa,Positive
end midi cable look feel like quality connection secure worry uneven connection also detaches without hitch highly recommended quality secure,Positive
trying find midi midi task make sure pin config correct one good product work fine midi midi,Positive
hosa xlr cable affordable heavily made large mixer rack cable everywhere decided purchase shorter cable hosa cable ft measurement worked perfectly really not disappointed heavy cable affordable price,Positive
bought go board amp use mobile church take beating still going strong still going,Positive
sturdy cord plug inexpensive good value require professional level equipment cord serf purpose well satisfied purchase supposed,Positive
use every week gig solid problem solder joint good quality cable good price good cable,Positive
hosa product good bang buck looked specification guessing wire awg since long good enough good enough,Positive
exactly voice touch needed small cord connect mic voice touch perfect used foot cord go inch highly recommend keep mic stand voice touch stand connected device vocal great little cord,Positive
bought really long mike cord solo live show really nice cord home portastudio recording studio like need spaghetti trip place bought two use digitech live harmony processor two xlr mike cord required make operational good price hard find mike cord usually longer one obtainable job need,Positive
cable seems like last used connect di box not get abused much vocal mics always decent mic cable,Positive
not greatest cheap get fast need one fail bought many use broadcast studio amazon first place go need cable audio video computer concert lighting good music decent inexpensive cable,Positive
fine cable decent price point nothing exceptional mind get job done well enough fine cable,Positive
used lot cable always come back hosa indeed best audio cable price range market hosa best,Positive
bought cord returning cheap one known better buy son experience musician recommended hosa brand seeking proper replacement bought small home recording setup includes behringer c condenser microphone behringer xenyx mixer end make reliable connection board mic sound quality excellent excellent value money excellent quality exactly needed,Positive
nice solid cable excellent support end last lifetime usage problem needed connect tube preamp great value,Positive
good quality cable sound good five star,Positive
zero issue cable far feel fairly cheap light weight survived month plugging unplugging packing practice space update review break pretty cheap cable lasted far,Positive
realtively inexpensive patch cable electric guitar month far held pretty well nice cable,Positive
bought wanted cheap replacement cable one short pleasantly surprised cable decent sound decent build quality good price nice guitar cable even better price,Positive
nice cable price already bent one end though fortunately still work fine inside phono connector wire covered white shrink plastic noticed hum crackle sure good buy want,Positive
cheap good texture rubber not get stiff time tell well soldering sound fine flexible soft rubber great,Positive
seems sturdy enough noise issue pretty much satified leave house not asking handle lot reasonable care last work wonderfully noise,Positive
not professional playing many many year best cord ever though sure eric clapton something better excellent,Positive
hosa cable well made good quality connector nice long length son expanding collection amp effect pedal needed additional cable get everything connected cable give flexibility move around sturdy enough take stepped pulled around cable work well good value decent quality cable highly recommended cfh great guitar cable good value highly recommended,Positive
expect cable thin easily thickness guitar cable used not sure long term durability signal loss interference foresight spend couple extra buck thicker cable still work inexpensive edit month later dead already wire frayed right angle jack get pay not recommend,Negative
bought daughter along new guitar seems work well issue first couple week cable work described,Positive
hum crackle think problem equipment soon use cord problem gone hosa make product good value based experience recommend one bought many cable one one give problem,Negative
not hard cable typically plug guitar dont move around much play hour two day one seem perform fine buzz noise noted several performed well get job done,Positive
found hosa cable excellent value expensive cable may rugged price happy hosa purchased nice cable price,Positive
good cable excellent plug lug solder joint covered heat shrink material hold everything place year grade cable affordable price definitely going back ft cable couple dollar ft well made audio cable,Positive
pretty crappy cable work get job done purchasing product using shell extra buck better quality eh,Positive
use cord church run pedalboard amp soundproof box cord reliable clean sounding like used hosa product past confidence excellent cord hopefully review usefull great affordable cord,Positive
second hosa guitar cable one shorter like first hosa cable high quality item definitely buy cable brand nice cable,Positive
work practice guitar instrument cable say maybe not best serf purpose maybe not best serf purpose,Neutral
cable taken beating last month served well problem real metal end not molded high quality silicone jacket strain relief connector high quality low cost,Positive
opinion not hurt extra guitar cable around experience tend die without notice feeling one last long time built sturdy sound really good recommend product work advertised,Positive
hosa guitar cable work great never problem several different length sound perfect good cable,Positive
product exactly supposed decent price absolutely complaint first experience brand not disappointed complaint,Positive
good quality guitar cord low noise repairable effective strain releaf thick rubber cover great buy buck quality cord course got might not durable look durable change mind anything update review would say buy one joe good quality,Positive
good solid cable problem stage like longer cable practice need extra length tangleing everything perfect practice,Positive
guitar cable nice look high quality white end fantastic deal cable nice high quality guitar cable,Positive
good product good price used multiple time work well guitar speaker great friend come jam work well,Positive
item well built like terminal end spring built going durable road cable home light road use work well well built cable,Positive
amp plug great price ft long perfect size jammin home quality look aesthetically totally worth price pperfect amp chord home use,Positive
hosa cable gtr guitar instrument cable ft high quality instrument cable low cost break bank satisfied purchase hosa cable gtr guitar instrument cable ft,Positive
unbalanced guitar cable notoriously noisy especially around florescent light different would prefer use cable better shielding not justify expense considering rarely thing get used standard guitar cable,Neutral
basic black electric guitar cable work great far connection end solid sound amp great nice rubbery foot long enough problem arise later cable update review problem whatsoever cable hosa electric guitar cable gtr,Positive
hosa cable quality place product good sound good reliable long lasting product not good affect sound negatively break prematurely short useful life span guitar cord actually quite nice feel good gooey soft rubber jacket like mogami sound good far working reliably rubber jacket diameter eye short heat shrink overwrap add strength wire enters plug bought needed cable fast internet concert lot pedal signal split connect cable arrived good working condition using continuously since dozen tube amp particular sound degradation far cable not disappointed anyone would buy needed far good,Positive
cable frill tangle pretty easy due design might rattle little move around work like average cable,Neutral
never really considered cheaper cable always taught get best could afford showed cable search amazon jumped figured nothing lose surprise excellent cable good build quality strong thick jacket inspires confidence sound identical monster cable cost one quarter price hmmmm guess tried figure instead listening snob many year never worth money twice try kiss overpriced cable goodbye good quality low price,Positive
one end loose tightened keep coming loose put dab crazy glue thread hope ever open end repair good price,Neutral
price fantastic feel light trust build quality key stress point cable meet connector not going push set guitar accident plugged know seven buck get job done recommended beginner thing testing water otherwise spend buck something higher chance lasting feel little flimsy see easily breaking work,Positive
hosa make good stuff exception trusted year think single hosa cable owned failed excellent,Positive
complaint size fault buy least foot plan use stage complaint size fault,Positive
hard day much work great issue speak job perfectly well worth,Positive
price work really well see fault unscrew pretty easily hardly problem right work,Positive
cable disproves notion get pay quality outweighs price let face cable cable cable quality cable vary greatly replaced lighter cable one surprised difference quality sound amp ibanez art series guitar ibanez watt amp set home nothing changed cable significant difference quality volume much checked guitar teacher said not surprised quality appears good end heavy duty little bit hum due proximity everything attenuated point inconsequential seen expensive cable one far great hosa gtr guitar cable ft good quality great price,Positive
looking long cable perform live band glad hosa quality feel reliable without adding noise good quality excellent price,Positive
good cable good price not sure would hold heavy use practicing home really great good cable good price,Positive
sturdy high quality little feedback use performing friend love work well great quality,Positive
unless going go top line expensive professional chord medium sized venue great value,Positive
many length hosa cable neverhad problem not active musician not put throughthe rigger happens stage not comment thistype usage year stage come realize thatyou always extra cable like string aseven expensive cable sometimes let good cable,Positive
using week strong flexible seem develop kink bending habit roll proper way seen used better cable not price point certainly seen quite worse pretty good sweet spot opinion solid cable,Positive
pro cheapo hated thing noisy cable feel really cheap gummy like drop buck get something else crap,Negative
work great watt amp almost compare monster cable length plenty room guitar amp good product work good complaint,Positive
good cable good expensive brand thick bit stiff seems shielded complaint good guitar cable,Positive
lot hosa cable cheap quality recieved one bad cable around use lot guy work get havn failed yet hosa rock,Positive
decent cable job leaf much desired far structural integrity concerned mating part connector jiggle back forth switch also loose connector move around mm microphone without switch pressed would not recommend using cable critical application would suited home hobby use job,Neutral
cable great connecting directly computer microphone record live without console mixer great recomended good direct connect computer,Positive
bought hook beta panasonic g dslr kodak zi interview work way supposed degree trs nice touch good price intended,Positive
received cord seems work expected say adapter cord well made good construction sound dslr mic superb work expected,Positive
like probably bought hook xlr microphone digital recorder pc work fine handy type recorder forget hooking directly pc way much noise good us,Positive
bought canon vixia hf g video camera shotgun mic recently purchased needed wire perfect fit mic mounted mini advanced shoe microphone plug video camera wire thing not foot long actual wire long would returned thing cheap enough worth hassle rated star tried nikon shoe mounted shotgun mike worked ok still tight fit though since wire recommend anyone looking short cable go adapter worst case scenario zip tie loop instead getting angry fit also not sure wire affect star hear hiss recording unsure way wire stretched max dslr not shotgun mic measure damned wire sending,Negative
well made xlr pin adaptor mini needed get real xlr mic computer job recommend,Positive
listing item confusing not sure stereo xlr stereo xlr meant similar stereo headphone left right separate unbalanced wire cable configured stereo unbalanced xlr stereo unbalanced trs cable item not mono balanced xlr stereo unbalanced mic cable little bit soldering fix connector moving red wire ping pin white wire pin tie pin ground wire product shipd expected listing item confusing,Positive
first reason awarded five star construction uniformly excellent end strain relief connecter perfectly mate plug insert xlr end quality component purchased specifically transform third channel mypowerwerks watt personal p systeminto something useable greatly expands functionality versatility portable pa allowing plug another mic since three unit daisychained able significantly enhance entire system simple adapter another reason love noise free environment play source electromagnetic interference cheap cable pick transmit not problem one another plus overall pleased adapter actually purchased spare case damage lose primary one bit pricier others considered feel quality peace mind worth premium solved big issue,Positive
use cable run extra line microphone podium zoom h adapter never failed instrumental capturing quality audio live event several love highly recommend adapter visual audio professional also check hosa sinlge xlr double xlr splitter good adapter cable,Positive
adapter cable stereo mics work small dv camera function caveat first construction pretty light weight mean gentle using something none u broadcast production field want worry since gear get pretty beat second adapter one foot length cable pretty short may not reach wherever mic input jack camera mean would need another short xlr mic cable extend mic adapter aware may work fine not work others went sam ash music found similar adapter cable heavy duty longer cable price pay shop around light weight cable stereo mics limitation,Positive
well made work however seem getting little bit noise shotgun mic straight usual expected see mic cable adapter tested going straight zoom h recorder seems little noise going adapter cable straight xlr input big surprise minor clean post good construction,Positive
used yet like cable company work fine nice cable,Positive
great stereo sound keyboard key single stereo cable needed get convert true channel stereo could eq properly worked like charm highly recommend cable perfect,Positive
another quality product hosa needed insert patch mixer eq always like slightly longer length always zip tie back hard stretch noise cable good insert cable,Positive
ordered expecting whole lot since price two dollar nearly foot cable turn quality quite excellent cable not flimsy plugged mixer waited hear static interference buzz explain low price got nice clean signal highly recommend anyone mixer need insert cable excellent insert cable,Positive
solid cable tight fit receptacle introduction noise discernible loss signal especially considering price brilliant like reviewer wondering economical cable could good trusted judgment gave try count among sure become convinced hosa know make great cable without need charge monster price work great,Positive
mixer send return plug using wire trs send tip return ring common ground effect box like separate tr in out perfect cable hookup thing like behringer sharkbehringer shark fbq automatic feedback destroyerto vlz send returnsmackie vlz ch compact recording sr mixeri probably order second cable seen well first one worked send return needed return,Positive
still operate analog environment quite often end using lot insert channel compression limiter gate expander plus various eq effect processor need routed applied specific channel insert snake use well individual insert cable differing length carry lifesaver make efficient soundman setup flexible soundman show soundman must insert cable,Positive
use home studio insert work great complaint side note always clean cable caig deoxit gold g spray contact conditioner oz hightly recommend musician hear differnce also spray q tip clean jack guitar instrument good price v value work great home studio,Positive
need audio insert cable need audio insert cable custom manufacture insert cable custom sound reinforcement fixed installation mobile rig mixer case processing gear simply not cost effective hosa go brand reliability durability brand reputation stake hosa allows u maintain good reputation lowering labor cost thanks dependable product hosa thanks great price amazon right product right price,Positive
play pod small guitar amp great way wake kid work perfectly purpose keep mind small end pod stereo large end go amp mono needing stereo jack end get something else use plug pod guitar amp,Positive
plugged work connect mono line stereo input lepai amp not much else tell plugged work,Positive
bought hook ipod iphones live stage sound system not stereo anyway use stereo mono adapter separate channel not needed perfect solution seems durable sound engineer solution,Positive
carry bass gig bag plug phone mono aux input back genz benz bass head handy rehearsal band need listen track working arrangement bass cab full range fearful picking used couple cable adapter go stereo mono often seemed never quite needed hand exact cable need application,Positive
super cheap mono cable sufficient many need cheap enough thin wire gauge forgiven aware cheap unshielded etc price intent almost gave star not star cable fair quality ultra cheap cable star seems right yes almost exactly wrote hosa cable reviewed almost star price,Positive
hard not love cord carry electron way end not sure complete failure would take star away work,Positive
cable cable usually work amazon always find best deal quality work good good price,Positive
picked cable test new pedalboard happier suck tone cable sturdy sound great replaced normal straight inch cable save much space board inexpensive not cheap,Positive
l jack good enough make connection guitar pedal work fine flexible enough like fact made plastic look cheap price paid really care good,Positive
little patch cable work nicely change tone sound connect one pedal another fine going make one small complaint explain got star instead product description say inch right jump http www amazon com gp product bpgxkc ref oh detail ie utf psc planet wave patch cable listed foot inch right hosa cable seem like maybe inch whereas planet wave cable gave plenty room one pedal another used hosa cable emergency back conclude would recommend yes one two pedal need affordable small effective patch cable go first recommendation always planet wave cable anything else job,Positive
need cable connect pedal look farther cable perfect deliver good sound small cheap could ask great pedal cable connector,Positive
bought hosa pedal cable son interconnect guitar pedal work well seems durable given problem far appear change sound quality tone great product great durable pedal cable,Positive
good little connector cable well constructed durable built last would recommend cable connect stomp box worth work great,Positive
great cable con could give go bad opening end fix experience durable people using pedal board not lot movement wear good cable,Positive
work fine great little space one pedal another distance better use another type bue generally work fine good quality product clean signal problem work fine,Positive
exactly needed connect distortion paddle amp favor always order threw amazon dealer placed order threw onlinecarstereo com report scam operation credit card co customer review terrible yet made mistake placing n order right eye changed bad review add good one good product still use hassle free order,Positive
great patch cable especially price suck tone reliable mine year really great player budget good budget cable,Positive
cable came super fast mail deliver level performance would expect form low cost cable work pay,Positive
good cable forsee problem right hooking pedal together eithout mesws long cable need get price right shipping right time right,Positive
not fanciest cable buy fit low budget work perfectly feel like going break anytime soon pedal perfectly connected decent connector decent price,Positive
typically use planet wave cable tried great never issue loss tone never break fails quality product good price reliable great,Positive
really inexpensive yet durable cable link stompboxes together yet havent one go crackly considering get frequent use pretty good often cheap cord die within year every electric guitarist keep stock thing one particular cheap accessible probably around twelve enjoy frill cordage,Positive
hosa patch cable best buck great sound flexible firm hosa cable fan love little guy great,Positive
lower profile fit bend place one thick metal end possibly better metal ended one,Positive
bought xlr adapter hoping connect microphone old funky mixer owned input end working discovered needed convert microphone level line level however convert xlr balanced quite well not needed particular situation nice tool although not transformer balancing device,Positive
use adapter interface mix board end channel xlr cable snake change channel monitor return plug xlr female stereo adapter end create headphone jack musician end setup record channel monitor channel xlr snake go ask channel xlr snake instead buying another snake not adapt snake hence word adapter p love great tool add versatility setup matter definately recommend product anyone would happen need change xlr balanced stereo high quality solid definately expect last long time versatility,Positive
purchased work ion system shure mic arrived expected solid great fit work problem,Positive
come handy many time studio z net love around good quality affordable price quality adapter,Positive
title say work reason took star sometimes get little stuck use force get xlr issue besides work,Positive
convert xlr signal shure sm mic male run guitar pedalboard amp issue performance converter little bulky especially clip mic onto could tight fitting certain place pedalboard work great overall get job done,Positive
got plug xlr cable jack board got board channel xlr input none work perhaps got wrong thing not thought,Negative
affordable work nice little adapter low impedance cable high impedance input affordable work,Positive
price beat work well one would bought local guitar store beat,Positive
basic female xlr inch male adapter use plug regular mic cable keyboard practice one pa work intended,Positive
bought xlr splitter split lead vocal foh monitor rack used way worked great never problem signal loss power issue began using transformer isolated xlr splitter started playing bigger venue longer use splitter issue hosa splitter cable length female connector male connector short short would cause microphone cable stick mic stand plugged lead singer microphone would great guitar mic something close ground horizontally placed look little funny coming vertical microphone stand nice utility wish little length split cable,Positive
expected hosa another great product solid construction great sound reproduced would recomed product everyone great cable,Positive
use run single mono xlr shotgun mic line two audio channel tascam dr save step post production quality fine supposed good price good product need,Positive
think purchasing item amazon plus important worked purchasing coordinator year know save money purchasing great believe not find even cable find radioshack best buy else done lot purchasing not business lady gentleman know know take care business right way would like apply position regard ffsalsa great cable,Positive
solid product ended not needing returned however worked fine get job done nice,Positive
dual splitter work perfect live event video company shoot lot wedding important part video audio make anything look good long get good clean audio signal always say half video audio year used run line directly dj mixer get audio issue way introdustions get music dj playing word speaking often though signal hot music crap dj say something stupid dj voice edit way want compress time product improved production beyond price sold use run separate clean audio line dj wireless system audio recorder work perfectly failed great product running clean separate line audio,Positive
recommended top engineer genz benz bass amplification company andy said product far superior right fixed scratchy potentiometer shuttle amp also fixed effect loop jack become oxidized causing amp intermittently lose power gig not good several gig worth testing problem resolved andy said product actually work better time applied since lubricating cleaning coating effect component wow andy not stock affiliation represent way manufacturer de oxit product work great worth extra money,Positive
thing like magic spray hah seriously used noisy hinge car door etc really bought clean pot volume control knob guitar pedal equipment really work get rid static noise get turn volume control radio guitar example magic spray,Positive
bought product use amp pot restored sound power clearity amp evaporate right away couple minute good go work well,Positive
back bought deoxit not right name remember worked much better cost much less made military spray level low still way high work stuff used much better see much else may stick wasteful cost good luck wd flammable would call average used better stuff,Neutral
pay tech fix knob switch guitar stomp box amp try time take care problem amp cut also try spraying effect loop pushing jack socket dozen time first bought probably paid hundred time good stuff five ounce magic,Positive
deal quite bit electronic musical instrument gear guitar bass amp fx midi gear etc time start suffering scratchy noisy pot knob input output jack crackly etc past tried locktite electronics cleaner provided similar would rarely work contrast cleaned every piece gear used saving physically replace pot jack really like magic magic,Positive
getting error printer cartridge recognized sprayed contact wiped excess paper towel working used printer cartridge,Positive
stuff work great well worth price used clean pot several guitar bass amp along various effect pedal scratchiness jarring volume spike knob glide better day new always keep around nothing say great stuff needed,Positive
fantastic stuff sprayed bass guitar pot like new wish found stuff sooner scratchy bass guitar pot scratchy,Positive
brillcream dab ya something like need contact cleaning worth coin stuff great,Positive
got old mesa boogie developed scratchy control year stuff cleaned pretty well midrange pot starting crackle hate tear chassis got ta happen kinda worked kinda,Neutral
used guitar tone volume pot clear crackle feel little oily get job done replacethe potentiometer work potentiometer,Positive
use alot kind electronics get crackling knob going use year recommend good stuff,Positive
pot bass become scratchy sprayed bit turn pot back forth time noise great needed cleaned pot bass fine,Positive
money karaoke mic decent job vocal use good keep spare gig box good usable mic,Positive
truly surprised saw nice weight good sound look nicely made good deal money go wrong not cheep made microphone much better thought would nice good microphone,Positive
reason give star ordered chord one missing chord ordered time good hot mics satisfied,Positive
bought mic spare son guitar amp set mixer seems work fine come mic cord decided go model switch based review yet disappointed excellent purpose mic,Positive
freelancer occasionally work band play midwest performing near weekly basis seasoned veteran interest gear per se even less interest brand cachet money believe first saw group using nady mics even lower priced several year ago insisting good shure sm still believe quality workmanship compare casual empirical test build quality prove much nady handle announcing vocal needed softer sounding instrument flute harmonica none broken quit watch keyboardist mic power fidelity affect trifle mortified musician audience catch cheap come important gear component time embarrassment confess not unmixed bit demonic glee playing getting paid good enough professional use,Positive
bought mic seeing grandson handling mic came karaoke machine thinking mic would not last long hope nady sp c impressive mic price using roland cm cube plan use roland micro cube also would given star cord connection mic not little loose nice surprise,Positive
bought cable band live show setup bought almost year ago still currently use application not best quality cable length price make good value money especially buying several time use cable studio live fine recommend cable budget looking buy several time going buy one look canare mogami little bit expensive easy get worth price good value not best quality,Positive
used live performance not last long good price need resolder end concert though cable good studio use,Positive
nothing complicated purchase cable work cost lot great deal get use every week still sound perfect never mistreat equipment great deal money paid,Positive
bought cable order able run longer cable run stage work narrower gauge wire cable make little cagy durability tend use cable run expect lot movement e g running cable mic stand save better cable belt pack mics jacket cable pronounced butyl rubber smell really activated allergy first stored mic cable open cardboard box month using seemed help lot rubber smell not everyone allergy might not issue folk use cable anything near face first month cheap work fine noticed sound issue cheap work strong butyl rubber smell thin cable,Positive
cable awhile not impressed quality plug jack look cheap cable thin use home practice mic much workout think would hold long stage venue fair quality,Positive
cable little thin compared hosa gls picked little interference equipment well guessing lacking shielding thin cable,Neutral
gain mic greatest speech soft recording guy handle well microphone great beginner,Positive
shure sm cost like open sound pg vocal seem break higher volume sm like mic ok sm worth extra money think especially expect push capability good price,Positive
test recording digitally get better idea learning process side give clean crisp reproduction every flaw good quality would expect shure,Positive
use video exchange guitar instruction website perfect vocal podcasting video recording forth shure make excellent stuff also great save money xlr cable included happy purchase great mic great deal,Positive
star instead thing tune guitar carry amp use solo duo bass player trio drum bass regular gig medium sized club basically one large room use pyle pro self contained pa also plug martin grp elec acoustic sound quality excellent volume seems limited bny pyle pro put would hesitation using bigger room full band pa heard hint feedback switch plus price might seem good true think thing paying less used bought toshiba flat screen around buck think would cost even five year ago less true lot audio gear lot company bringing high quality elctronics music market great company like shure make something good affordable always made high quality product one almost anyone afford not recommend strongly enough buy,Positive
far happy microphone tone quality fine everything need backup vocal band although longer cable would nice great cable included package good mic price,Positive
hard get honest review mike shure sm considered gold standard others measured course least part reputation deserved perhaps durability sm sound couple sm couple pgs considering sm pg slightly better spec almost identical price first thing noticed box pg slightly bigger slightly heavier also different switch sm metal screen protecting interchangeable plugged one microphone cable setting would identical tried mike one first speaking singing playing guitar changed setting specifically effect eq pa repeated experiment speaking singing changing mike noticed sm slightly flatter mid range pg slightly brighter touch presence equal volume slight difference tone easily manipulated eq ordinary tone control neither susceptible much feedback vocal pop tried side side comparison live situation even practice time consuming interferes playing difficulty judge situation least awkward used combination two practice one seems able tell difference except one person actually expressed preference pg could setting looked spec two mike side side sm little flatter response especially high end k hz pick db pg somewhere hz however since human vocal range generally around hz neither seems likely much effect although sm might tad responsive bass singer also tried two different behringer mike radio shack mike behringer totally outclassed shures sounding tinny thin little presence volume tried behringer xm impressed similarity mike sound almost identical b shure sm behringer xm seems discontinued though replaced xm inferior mike offered bundle three plugged radio shack mike spare backup not even taken practice model number probably also discontinued excellent sounding mike good volume presence tone mike test side side experiment reach conclusion quite bit snobbery choosing microphone shure sm held unreachable standard sturdy good mike price not unreasonable around however microphone sound nearly identical also sturdy reliable lower price including shure pg likely sm though test wish people would give unbiased review based actual performance instead condescension toward either budget looking alternative standard bearer giving star enough time give evaluation hold comparison sm unbiased review,Positive
microphone great singing pa electric guitar sing worship praise song southern gospel smooth mid range get close enhances bass nicely think sm exactly need built last shure good lead vocal microphone,Positive
got used recording rehearsal work well far revise review somehow change next year right though say great product great far,Positive
bought one replace shure big step one pleased old one lot handling noise one little good money paid next one sm awhile happy pg update december handling noise definitely something consider would keep buying another one mics problem degree good mic,Positive
started shure pg recently acquired shure sm probably ready agree argue neumann telefunken mic costing g simply much better nady mic costing buck respect shure less sure sm worth pg perhaps sufficiently high powered clean amplifier tweaked eq setting favor frequency human voice two mics could mistaken one another attempt occasionally use instrument amplifier emergency p led realize pg sounded somewhat muted dull compared sm switching common admittedly expensive mic gave extra gain needed along added crispness clarity voice least announcement p notice head pg larger sm since rise digital audio workstation computer free included garage band large even gold plated expensive looking cheap mics display place despite appearance come mics size matter except appearance director high school show band dispense headset wrap half way around face knowing girl front line think cool look like madonna janet headgear best mics tiny opening size pin hole shure quality construction not quite equal sm,Positive
good mic simple live stuff expensive get good clear sound switch help kind thing good mic,Positive
proven classic using mic mesa boogie mark v x cabinet sound fantastic solidly built classic delivers,Positive
mic get recording live instrument voice always come great sound seems almost indestructible looking forward work future project believe took long get one best f mic ever,Positive
although mic considered primarily instrument mic not always case actually preferred basic design live vocal use since bought first one known shure model unidyne iii mic got stolen year ago remarkably still working time got boosted still using needed one switch function owned used countless modern day sm sm along dozen mics year manufacturer fairly deep baritone bass type voice need get closer inch sm sm sound similar shure sm studio vocal mic put windscreen get inch away use sm studio environment though slightly fragile four time expensive design sm require get much closer mic get full range sound sm prefer sm sm vocal use sound crisper high sound fuller low end sm sound natural vocal never sound muddy muffled sm one pronounced proximity effect mic ever used tend shove mic throat may benefit less dramatic proximity effect sm ever going use sm vocal recommend buying shure aws windscreen genuine shure windscreen fit precisely lock securely onto sm sm pop like mad without one possible drawback sm vocal mic model available switch day find modern sm switch anywhere however ever tried using mic forgot switch position probably became liability money sm best around microphone past two generation stage use recording purpose studio vocal use sm really sound much different sm built variable eq sm set way like sm predecessor best around microphone since certainly enduring durable not go wrong unless get close windscreen best around year,Positive
good around mike looking solid mike start studio recommend one best used guitar mid range instrument recording not bad vocal best mike price purpose best price range,Positive
seriously shure sm set standard instrument microphone judged kidding work great guitar real acoustic guitar sound drum conga tablas name instrument sm delivers hear good vocal well president give speech sm experience vocalist better average pipe use sm sm better suited lack vocal projection wannabe instrument sound reinforcement bar none best industry standard,Positive
good enough track tom petty vox heartbreaker album good enough rest u sound great amp perc dropped one story building year back parking lot barley dented housing still work drummer still us kit never told haha hope read review shame new mics coming wireless stuff make ie presentor pg seies digital series etc flimsy piece garbage last cool shure classic last shures good mics,Positive
